pet_slug,species,style,minimum_species,maximum_species,possible_final_count,path_min_to_max,species_default_bst_min_to_max,proposed_context_bands_percent,missing_base_species_assets,mapping_scope
primeape,primeape,2d,mankey,annihilape,1,mankey > primeape > annihilape,305 > 455 > 535,"annihilape [0.00,37.18); primeape [37.18,68.80); mankey [68.80,90.00); pokeball [90,100]",annihilape,species-only; form-conditional routes not resolved
growlithe,growlithe,2d,growlithe,arcanine,1,growlithe > arcanine,350 > 555,"arcanine [0.00,55.19); growlithe [55.19,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
arcanine,arcanine,2d,growlithe,arcanine,1,growlithe > arcanine,350 > 555,"arcanine [0.00,55.19); growlithe [55.19,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
poliwag,poliwag,2d,poliwag,poliwrath,2,poliwag > poliwhirl > poliwrath,300 > 385 > 510,"poliwrath [0.00,38.41); poliwhirl [38.41,67.41); poliwag [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
poliwag,poliwag,2d,poliwag,politoed,2,poliwag > poliwhirl > politoed,300 > 385 > 500,"politoed [0.00,37.97); poliwhirl [37.97,67.22); poliwag [67.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
poliwhirl,poliwhirl,2d,poliwag,poliwrath,2,poliwag > poliwhirl > poliwrath,300 > 385 > 510,"poliwrath [0.00,38.41); poliwhirl [38.41,67.41); poliwag [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
poliwhirl,poliwhirl,2d,poliwag,politoed,2,poliwag > poliwhirl > politoed,300 > 385 > 500,"politoed [0.00,37.97); poliwhirl [37.97,67.22); poliwag [67.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
poliwrath,poliwrath,2d,poliwag,poliwrath,1,poliwag > poliwhirl > poliwrath,300 > 385 > 510,"poliwrath [0.00,38.41); poliwhirl [38.41,67.41); poliwag [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
abra,abra,2d,abra,alakazam,1,abra > kadabra > alakazam,310 > 400 > 500,"alakazam [0.00,37.19); kadabra [37.19,66.94); abra [66.94,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kadabra,kadabra,2d,abra,alakazam,1,abra > kadabra > alakazam,310 > 400 > 500,"alakazam [0.00,37.19); kadabra [37.19,66.94); abra [66.94,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
alakazam,alakazam,2d,abra,alakazam,1,abra > kadabra > alakazam,310 > 400 > 500,"alakazam [0.00,37.19); kadabra [37.19,66.94); abra [66.94,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
machop,machop,2d,machop,machamp,1,machop > machoke > machamp,305 > 405 > 505,"machamp [0.00,37.41); machoke [37.41,67.41); machop [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
machoke,machoke,2d,machop,machamp,1,machop > machoke > machamp,305 > 405 > 505,"machamp [0.00,37.41); machoke [37.41,67.41); machop [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
machamp,machamp,2d,machop,machamp,1,machop > machoke > machamp,305 > 405 > 505,"machamp [0.00,37.41); machoke [37.41,67.41); machop [67.41,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
bellsprout,bellsprout,2d,bellsprout,victreebel,1,bellsprout > weepinbell > victreebel,300 > 390 > 490,"victreebel [0.00,37.37); weepinbell [37.37,67.12); bellsprout [67.12,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
weepinbell,weepinbell,2d,bellsprout,victreebel,1,bellsprout > weepinbell > victreebel,300 > 390 > 490,"victreebel [0.00,37.37); weepinbell [37.37,67.12); bellsprout [67.12,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
victreebel,victreebel,2d,bellsprout,victreebel,1,bellsprout > weepinbell > victreebel,300 > 390 > 490,"victreebel [0.00,37.37); weepinbell [37.37,67.12); bellsprout [67.12,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tentacool,tentacool,2d,tentacool,tentacruel,1,tentacool > tentacruel,335 > 515,"tentacruel [0.00,54.53); tentacool [54.53,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tentacruel,tentacruel,2d,tentacool,tentacruel,1,tentacool > tentacruel,335 > 515,"tentacruel [0.00,54.53); tentacool [54.53,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
geodude,geodude,2d,geodude,golem,1,geodude > graveler > golem,300 > 390 > 495,"golem [0.00,37.59); graveler [37.59,67.22); geodude [67.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
graveler,graveler,2d,geodude,golem,1,geodude > graveler > golem,300 > 390 > 495,"golem [0.00,37.59); graveler [37.59,67.22); geodude [67.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
golem,golem,2d,geodude,golem,1,geodude > graveler > golem,300 > 390 > 495,"golem [0.00,37.59); graveler [37.59,67.22); geodude [67.22,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
ponyta,ponyta,2d,ponyta,rapidash,1,ponyta > rapidash,410 > 500,"rapidash [0.00,49.45); ponyta [49.45,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rapidash,rapidash,2d,ponyta,rapidash,1,ponyta > rapidash,410 > 500,"rapidash [0.00,49.45); ponyta [49.45,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
slowpoke,slowpoke,2d,slowpoke,slowbro,2,slowpoke > slowbro,315 > 490,"slowbro [0.00,54.78); slowpoke [54.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
slowpoke,slowpoke,2d,slowpoke,slowking,2,slowpoke > slowking,315 > 490,"slowking [0.00,54.78); slowpoke [54.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
slowbro,slowbro,2d,slowpoke,slowbro,1,slowpoke > slowbro,315 > 490,"slowbro [0.00,54.78); slowpoke [54.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
magnemite,magnemite,2d,magnemite,magnezone,1,magnemite > magneton > magnezone,325 > 465 > 535,"magnezone [0.00,36.34); magneton [36.34,67.92); magnemite [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
magneton,magneton,2d,magnemite,magnezone,1,magnemite > magneton > magnezone,325 > 465 > 535,"magnezone [0.00,36.34); magneton [36.34,67.92); magnemite [67.92,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
farfetchd,farfetchd,2d,farfetchd,sirfetchd,1,farfetchd > sirfetchd,377 > 507,"sirfetchd [0.00,51.62); farfetchd [51.62,90.00); pokeball [90,100]",sirfetchd,species-only; form-conditional routes not resolved
doduo,doduo,2d,doduo,dodrio,1,doduo > dodrio,310 > 470,"dodrio [0.00,54.23); doduo [54.23,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dodrio,dodrio,2d,doduo,dodrio,1,doduo > dodrio,310 > 470,"dodrio [0.00,54.23); doduo [54.23,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
seel,seel,2d,seel,dewgong,1,seel > dewgong,325 > 475,"dewgong [0.00,53.44); seel [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
dewgong,dewgong,2d,seel,dewgong,1,seel > dewgong,325 > 475,"dewgong [0.00,53.44); seel [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
grimer,grimer,2d,grimer,muk,1,grimer > muk,325 > 500,"muk [0.00,54.55); grimer [54.55,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
muk,muk,2d,grimer,muk,1,grimer > muk,325 > 500,"muk [0.00,54.55); grimer [54.55,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
shellder,shellder,2d,shellder,cloyster,1,shellder > cloyster,305 > 525,"cloyster [0.00,56.93); shellder [56.93,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cloyster,cloyster,2d,shellder,cloyster,1,shellder > cloyster,305 > 525,"cloyster [0.00,56.93); shellder [56.93,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gastly,gastly,2d,gastly,gengar,1,gastly > haunter > gengar,310 > 405 > 500,"gengar [0.00,37.04); haunter [37.04,67.04); gastly [67.04,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
haunter,haunter,2d,gastly,gengar,1,gastly > haunter > gengar,310 > 405 > 500,"gengar [0.00,37.04); haunter [37.04,67.04); gastly [67.04,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
gengar,gengar,2d,gastly,gengar,1,gastly > haunter > gengar,310 > 405 > 500,"gengar [0.00,37.04); haunter [37.04,67.04); gastly [67.04,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
onix,onix,2d,onix,steelix,1,onix > steelix,385 > 510,"steelix [0.00,51.28); onix [51.28,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
drowzee,drowzee,2d,drowzee,hypno,1,drowzee > hypno,328 > 483,"hypno [0.00,53.60); drowzee [53.60,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
hypno,hypno,2d,drowzee,hypno,1,drowzee > hypno,328 > 483,"hypno [0.00,53.60); drowzee [53.60,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
krabby,krabby,2d,krabby,kingler,1,krabby > kingler,325 > 475,"kingler [0.00,53.44); krabby [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kingler,kingler,2d,krabby,kingler,1,krabby > kingler,325 > 475,"kingler [0.00,53.44); krabby [53.44,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
voltorb,voltorb,2d,voltorb,electrode,1,voltorb > electrode,330 > 490,"electrode [0.00,53.78); voltorb [53.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
electrode,electrode,2d,voltorb,electrode,1,voltorb > electrode,330 > 490,"electrode [0.00,53.78); voltorb [53.78,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
exeggcute,exeggcute,2d,exeggcute,exeggutor,1,exeggcute > exeggutor,325 > 530,"exeggutor [0.00,55.79); exeggcute [55.79,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
exeggutor,exeggutor,2d,exeggcute,exeggutor,1,exeggcute > exeggutor,325 > 530,"exeggutor [0.00,55.79); exeggcute [55.79,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
cubone,cubone,2d,cubone,marowak,1,cubone > marowak,320 > 425,"marowak [0.00,51.34); cubone [51.34,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
marowak,marowak,2d,cubone,marowak,1,cubone > marowak,320 > 425,"marowak [0.00,51.34); cubone [51.34,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
hitmonlee,hitmonlee,2d,tyrogue,hitmonlee,1,tyrogue > hitmonlee,210 > 455,"hitmonlee [0.00,61.58); tyrogue [61.58,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
hitmonchan,hitmonchan,2d,tyrogue,hitmonchan,1,tyrogue > hitmonchan,210 > 455,"hitmonchan [0.00,61.58); tyrogue [61.58,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
lickitung,lickitung,2d,lickitung,lickilicky,1,lickitung > lickilicky,385 > 515,"lickilicky [0.00,51.50); lickitung [51.50,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
koffing,koffing,2d,koffing,weezing,1,koffing > weezing,340 > 490,"weezing [0.00,53.13); koffing [53.13,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
weezing,weezing,2d,koffing,weezing,1,koffing > weezing,340 > 490,"weezing [0.00,53.13); koffing [53.13,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rhyhorn,rhyhorn,2d,rhyhorn,rhyperior,1,rhyhorn > rhydon > rhyperior,345 > 485 > 535,"rhyperior [0.00,35.27); rhydon [35.27,67.25); rhyhorn [67.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
rhydon,rhydon,2d,rhyhorn,rhyperior,1,rhyhorn > rhydon > rhyperior,345 > 485 > 535,"rhyperior [0.00,35.27); rhydon [35.27,67.25); rhyhorn [67.25,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
chansey,chansey,2d,happiny,blissey,1,happiny > chansey > blissey,220 > 450 > 540,"blissey [0.00,40.17); chansey [40.17,73.64); happiny [73.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
tangela,tangela,2d,tangela,tangrowth,1,tangela > tangrowth,435 > 535,"tangrowth [0.00,49.64); tangela [49.64,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
kangaskhan,kangaskhan,2d,kangaskhan,kangaskhan,1,kangaskhan,490,"kangaskhan [0.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
horsea,horsea,2d,horsea,kingdra,1,horsea > seadra > kingdra,295 > 440 > 540,"kingdra [0.00,38.12); seadra [38.12,69.18); horsea [69.18,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
seadra,seadra,2d,horsea,kingdra,1,horsea > seadra > kingdra,295 > 440 > 540,"kingdra [0.00,38.12); seadra [38.12,69.18); horsea [69.18,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
goldeen,goldeen,2d,goldeen,seaking,1,goldeen > seaking,320 > 450,"seaking [0.00,52.60); goldeen [52.60,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
seaking,seaking,2d,goldeen,seaking,1,goldeen > seaking,320 > 450,"seaking [0.00,52.60); goldeen [52.60,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
staryu,staryu,2d,staryu,starmie,1,staryu > starmie,340 > 520,"starmie [0.00,54.42); staryu [54.42,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
starmie,starmie,2d,staryu,starmie,1,staryu > starmie,340 > 520,"starmie [0.00,54.42); staryu [54.42,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
mr-mime,mr-mime,2d,mime-jr,mr-rime,1,mime-jr > mr-mime > mr-rime,310 > 460 > 520,"mr-rime [0.00,36.28); mr-mime [36.28,68.37); mime-jr [68.37,90.00); pokeball [90,100]",mr-rime,species-only; form-conditional routes not resolved
scyther,scyther,2d,scyther,scizor,2,scyther > scizor,500 > 500,"scizor [0.00,45.00); scyther [45.00,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
scyther,scyther,2d,scyther,kleavor,2,scyther > kleavor,500 > 500,"kleavor [0.00,45.00); scyther [45.00,90.00); pokeball [90,100]",kleavor,species-only; form-conditional routes not resolved
jynx,jynx,2d,smoochum,jynx,1,smoochum > jynx,305 > 455,"jynx [0.00,53.88); smoochum [53.88,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
electabuzz,electabuzz,2d,elekid,electivire,1,elekid > electabuzz > electivire,360 > 490 > 540,"electivire [0.00,34.96); electabuzz [34.96,66.69); elekid [66.69,90.00); pokeball [90,100]",,species-only; form-conditional routes not resolved
